FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	1.2	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.00781	1.1	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.01172	0.9	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.01562	0.7	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.01953	0.6	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.02344	0.4	14315	19.4	16.3	3.1	8.1	-8.2	16.3	
0.02734	0.3	14315	19.4	16.3	3.1	8.1	-8.2	16.3	
0.03125	0.2	14315	19.4	16.3	3.1	8.1	-8.2	16.3	
0.03516	0.0	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.03906	0.0	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.04297	-0.0	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.04688	-0.1	14315	19.5	16.3	3.2	8.1	-8.2	16.3	
0.05078	-0.0	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.05469	0.0	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.05859	0.1	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.06250	0.1	14315	19.6	16.3	3.3	8.1	-8.2	16.3	
0.06641	0.1	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.07031	0.2	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.07422	0.2	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.07812	0.3	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.08203	0.3	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.08594	0.4	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.08984	0.4	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.09375	0.4	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.09766	0.5	14315	19.7	16.4	3.3	8.1	-8.3	16.4	
0.10156	0.5	14315	19.6	16.4	3.2	8.1	-8.3	16.4	
0.10547	0.4	14315	19.6	16.4	3.2	8.1	-8.3	16.4	
0.10938	0.5	14315	19.6	16.5	3.1	8.1	-8.4	16.5	
0.11328	0.5	14315	19.6	16.5	3.1	8.1	-8.4	16.5	
0.11719	0.4	14315	19.5	16.5	3.0	8.1	-8.4	16.5	
0.12109	0.4	14315	19.5	16.5	3.0	8.1	-8.4	16.5	
0.12500	0.4	14315	19.5	16.5	3.0	8.1	-8.4	16.5	
0.12891	0.4	14316	19.5	16.5	3.0	8.1	-8.4	16.5	
0.13281	0.3	14316	19.5	16.5	3.0	8.1	-8.4	16.5	
0.13672	0.3	14316	19.5	16.5	3.0	8.1	-8.4	16.5	
0.14062	0.3	14316	19.4	16.5	2.9	8.1	-8.4	16.5	
0.14453	0.3	14316	19.4	16.5	2.9	8.1	-8.4	16.5	
0.14844	0.2	14316	19.4	16.5	2.9	8.1	-8.4	16.5	
0.15234	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.15625	0.2	14316	19.5	16.5	3.0	8.1	-8.4	16.5	
0.16016	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.16406	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.16797	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.17188	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.17578	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.17969	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.18359	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.18750	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.19141	0.3	14316	19.6	16.6	3.0	8.1	-8.5	16.6	
0.19531	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.19922	0.3	14316	19.6	16.6	3.0	8.1	-8.5	16.6	
0.20312	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.20703	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.21094	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.21484	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.21875	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.22266	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.22656	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.23047	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.23438	0.3	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.23828	0.3	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.24219	0.3	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.24609	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.25000	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.25391	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.25781	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.26172	0.2	14316	19.4	16.6	2.8	8.1	-8.5	16.6	
0.26562	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.26953	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.27344	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.27734	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
0.28125	0.2	14316	19.5	16.6	2.9	8.1	-8.5	16.6	
